/*
 *
 *  Dados fornecidos pela Iplam (Instituto de pesquisa e planejamento urbano)
 *  da cidade de Ponta Grossa Paraná Brasil.
 *
 */
wkt_geom,id,LOGRADOURO,LOTEAMENTO,BAIRRO,KM,TIPO_EQUI,COOR X,COOR Y
Point (-50.16301328150645844 -25.09538878640622883),,Avenida Vicente Machado,Centro,Centro,,Semafaro,-501630132815,-250953887864
Point (-50.16218024304883727 -25.09528424754919484),,Avenida Vicente Machado,Centro,Centro,,Semafaro,-50162180243,-250952842475
Point (-50.16136758706250021 -25.09518214104420153),,Avenida Vicente Machado,Centro,Centro,,Semafaro,-501613675871,-25095182141
Point (-50.16050655373206979 -25.0950704692523594),,Avenida Vicente Machado,Centro,Centro,,Semafaro,-501605065537,-250950704693
Point (-50.15901634564464473 -25.09487164311032359),,Avenida Vicente Machado,Centro,Centro,,Semafaro,-501590163456,-250948716431
Point (-50.15828271669924732 -25.09477228956963302),,Avenida Vicente Machado,Centro,Centro,,Semafaro,-501582827167,-250947722896
Point (-50.15750568259349507 -25.09468197300830639),,Avenida Vicente Machado,Centro,Centro,,Semafaro,-501575056826,-25094681973
Point (-50.15593659155371853 -25.09446177213857965),,Avenida Vicente Machado,Centro,Centro,,Semafaro,-501559365916,-250944617721
Point (-50.15248475965524477 -25.09402997732746599),,Avenida Vicente Machado,Centro,Centro,,Semafaro,-501524847597,-250940299773
Point (-50.16494622776959744 -25.08689617393739724),,Rua Balduino Taques,Centro,Centro,,Semafaro,-501649462278,-250868961739
Point (-50.1645733334456736 -25.08849610122551965),,Rua Balduino Taques,Centro,Centro,,Semafaro,-501645733334,-250884961012
Point (-50.16441569918975318 -25.0891824595273647),,Rua Balduino Taques,Centro,Centro,,Semafaro,-501644156992,-250891824595
Point (-50.1642951435600537 -25.08966471008336185),,Rua Balduino Taques,Centro,Centro,,Semafaro,-501642951436,-250896647101
Point (-50.16386884267980406 -25.09161724376700064),,Rua Balduino Taques,Centro,Centro,,Semafaro,-501638688427,-250916172438
Point (-50.16357445691794226 -25.09291577865239375),,Rua Balduino Taques,Centro,Centro,,Semafaro,-501635744569,-250929157787
Point (-50.16342707208951879 -25.09359290596403724),,Rua Balduino Taques,Centro,Centro,,Semafaro,-501634270721,-25093592906
Point (-50.16320690761601497 -25.0944739386978739),,Rua Balduino Taques,Centro,Centro,,Semafaro,-501632069076,-250944739387
Point (-50.16346917246792714 -25.08665103265650842),,Rua Penteado de Almeida,Centro,Centro,,Semafaro,-501634691725,-250866510327
Point (-50.16313237709232453 -25.08893840536687136),,Rua Francisco Ribas,Centro,Centro,,Semafaro,-501631323771,-250889384054
Point (-50.16296736082922081 -25.08995905603070398),,Rua Francisco Burzio,Centro,Centro,,Semafaro,-501629673608,-25089959056
Point (-50.16254548316413064 -25.09275673649078797),,Rua Comendador Miro,Centro,Centro,,Semafaro,-501625454832,-250927567365
Point (-50.16244382687783343 -25.09345733861191619),,Rua do Rosario,Centro,Centro,,Semafaro,-501624438269,-250934573386
Point (-50.16207443351142814 -25.09603242200492801),,Rua Paula Xavier,Centro,Centro,,Semafaro,-501620744335,-25096032422
Point (-50.16105335083655348 -25.10293624525986544),,Rua Paula Xavier,Placidina,Estrela,,Semafaro,-501610533508,-251029362453
Point (-50.16184482027241387 -25.09754956467466869),,Rua Paula Xavier,Centro,Centro,,Semafaro,-501618448203,-250975495647
Point (-50.16231528230476755 -25.09436210489703356),,Rua Paula Xavier,Centro,Centro,,Semafaro,-501623152823,-250943621049
Point (-50.16062738848042812 -25.09414471358223153),,Rua Augusto Ribas,Centro,Centro,,Semafaro,-501606273885,-250941447136
Point (-50.16077516091636568 -25.09322909742133234),,Rua do Rosario,Centro,Centro,,Semafaro,-501607751609,-250932290974
Point (-50.16087966476377602 -25.09250893699844198),,Rua Comendador Miro,Centro,Centro,,Semafaro,-501608796648,-25092508937
Point (-50.16130814924185444 -25.08962835281881709),,Rua Francisco Burzio,Centro,Centro,,Semafaro,-501613081492,-250896283528
Point (-50.16205661641809144 -25.08978532403377315),,Rua Francisco Burzio,Centro,Centro,,Semafaro,-501620566164,-25089785324
Point (-50.15970895052324607 -25.0893233664009685),,Rua Francisco Burzio,Centro,Centro,,Semafaro,-501597089505,-250893233664
Point (-50.16221046638719372 -25.088744443607915),,Rua Barão do Cerro Azul,Centro,Centro,,Semafaro,-501622104664,-250887444436
Point (-50.16255850602490085 -25.08651016714760473),,Rua Penteado de Almeida,Centro,Centro,,Semafaro,-50162558506,-250865101671
Point (-50.16014768048802352 -25.08609559294245983),,Rua Bonifacio Vilela,Centro,Centro,,Semafaro,-501601476805,-250860955929
Point (-50.15932957932552938 -25.09229849412085045),,Avenida Bonifacio Vilela,Centro,Centro,,Semafaro,-501593295793,-250922984941
Point (-50.15923946433555614 -25.09302112143194563),,Avenida Bonifacio Vilela,Centro,Centro,,Semafaro,-501592394643,-250930211214
Point (-50.15793024739340922 -25.09208053782070991),,Rua Comendador Miro,Centro,Centro,,Semafaro,-501579302474,-250920805378
Point (-50.15780584560357624 -25.09206789869561049),,Ru Comendador Miro,Centro,Centro,40,Controlador de Velocidade,-501578058456,-250920678987
Point (-50.15632671086199679 -25.09183157487335691),,Rua Comendador Miro,Centro,Centro,,Semafaro,-501563267109,-250918315749
Point (-50.15701348143826266 -25.09257890259511825),,Rua do Rosario,Centro,Centro,,Semafaro,-501570134814,-250925789026
Point (-50.15206179845397116 -25.09119748585254328),,Avenida Carlos Cavalcanti,Centro,Centro,,Semafaro,-501520617985,-250911974859
Point (-50.15540132742228252 -25.09759231544528646),,Rua Benjamin Constant,Centro,Centro,,Semafaro,-501554013274,-250975923154
Point (-50.15474127433603968 -25.09753127748368229),,Rua Ermelino de Leão,Euvira,Olarias,,Semafaro,-501547412743,-250975312775
Point (-50.15598672329784335 -25.10013020691051366),,Rua Benjamin Constant,Centro,Centro,,Semafaro,-501559867233,-251001302069
Point (-50.15541530703774953 -25.10013650056465906),,Rua Benjamin Constant,Euvira,Olarias,,Semafaro,-50155415307,-251001365006
Point (-50.15126715331657437 -25.09203660197729491),,Avenida Dom Geraldo de Pelanda,Centro,Centro,,Semafaro,-501512671533,-25092036602
Point (-50.15017292227987866 -25.09071532639811863),,Avenida General Carlos Cavalcanti,Ana Rita,Uvaranas,,Semafaro,-501501729223,-250907153264
Point (-50.1872198044599287 -25.08305307273624862),,Rua Dom Pedro II,,Nova Russia,,Semafaro,-501872198045,-250830530727
Point (-50.18296200523668205 -25.08442525909051923),,Rua Dom Pedro II,Madureira,Nova Russia,,Semafaro,-501829620052,-250844252591
Point (-50.18082848133697382 -25.08506265304461635),,Rua Dom Pedro II,Madureira,Nova Russia,,Semafaro,-501808284813,-25085062653
Point (-50.1784166445532378 -25.08577484641948629),,Rua Dom Pedro II,Nova Russia,Nova Russia,,Semafaro,-501784166446,-250857748464
Point (-50.17692637470323547 -25.08622839517160941),,Rua Dom Pedro II,Nova Russia,Nova Russia,,Semafaro,-501769263747,-250862283952
Point (-50.17346203972828533 -25.08775684904902192),,Avenida João Manoel dos Santos Ribas,Clock,Nova Russia,,Semafaro,-501734620397,-25087756849
Point (-50.1716031221671912 -25.08865816342115451),,AvenidaJoao Manoel dos Santos Ribas,Clock,Nova Russia,,Semafaro,-501716031222,-250886581634
Point (-50.16857225597985348 -25.09582964288639317),,Avenida Visconde de Taunay,Marina da Ronda,Ronda,,Semafaro,-50168572256,-250958296429
Point (-50.17492123985114461 -25.09741160830845175),,Avenida Visconde de Taunay,Ronda D,Ronda,,Semafaro,-501749212399,-250974116083
Point (-50.16079966533539647 -25.10432987531757121),,Rua Paulo Xavier,Placidina,Estrela,,Semafaro,-501607996653,-251043298753
Point (-50.15934009875710586 -25.10619269555771993),,Rua Silva Jardim,Estrela,Estrela,,Semafaro,-501593400988,-251061926956
Point (-50.18681400184282637 -25.07972093439297012),,Avenida Ernesto Vilela,Boa Vista,Boa Vista,,Semafaro,-501868140018,-250797209344
Point (-50.18073027809720088 -25.08268982537353153),,Avenida Ernesto Vilela,Madureira,Nova Russia,,Semafaro,-501807302781,-250826898254
Point (-50.17748580812653358 -25.08428044896954034),,Avenida Ernesto Vilela,Nova Russia,Nova Russia,,Semafaro,-501774858081,-25084280449
Point (-50.17276389997301322 -25.0865453382304473),,Avenida Ernesto Vilela,Nova Russia,Nova Russia,,Semafaro,-501727639,-250865453382
Point (-50.17091020521579736 -25.08745144664583648),,Avenida Ernesto Vilela,Nova Russia,Nova Russia,,Semafaro,-501709102052,-250874514466
Point (-50.16670930144587004 -25.07930870085047914),,Rua Balduino Taques,,Centro,,Semafaro,-501667093014,-250793087009
Point (-50.16216572668015772 -25.10320098483377649),,Rua Balduino Taques,Placidina,Estrela,,Semafaro,-501621657267,-251032009848
